,Company,Address,City,State,Zip,Lat,Long,Nearest Kroger
0,4ROSES - Four Roses Gift Shop,1224 Bonds Mill Rd,Lawrenceburg,KY,40342,37.97357306,-84.89755057,"1300 Anderson Crossing Dr, Lawrenceburg, KY 40342"
4,BARHSE - Barrel House Distilling Co.,1200 Manchester Street,Lexington,KY,40504,38.05643411,-84.51903423,"704 Euclid Ave, Lexington, KY 40502"
9,DUELGR - Dueling Grounds Distillery,545 George Taylor Rd.,Franklin,KY,42134,37.17169401,-86.59439694,"2945 Scottsville Rd, Bowling Green, KY 42104"
12,HEAVEN - Heaven Hill,1064 Loretto Rd.,Bardstown,KY,40004,38.01401721,-85.47078878,"102 W John Rowan Blvd, Bardstown, KY 40004"
22,MBROLL - MB Roland Distillery,137 Barkers Mill Rd,Pembroke,KY,42266,36.69842954,-87.3916614,"1213 Skyline Dr, Hopkinsville, KY 42240"
23,MICHTE - Michter's Distillery,2351 New Millennium Drive,Louisville,KY,40216,38.25793242,-85.76329932,"1265 Goss Ave, Louisville, KY 40217"
24,MMGIFT - Maker's Mark Distillery-Gift Shop,3350 Burks Spring Road,Loretto,KY,40037,37.64713072,-85.34886131,"705 E Main St, Lebanon, KY 40033"
26,OLDPOG - Old Pogue,716 West Second Street,Maysville,KY,41056,38.66120359,-83.77934783,"381 Market Square Dr, Maysville, KY 41056"
34,WILDTK - Wild Turkey Distillery Gift St,1417 Versailles Road,Lawrenceburg,KY,40342,38.04064408,-84.85184104,"1300 Anderson Crossing Dr, Lawrenceburg, KY 40342"
35,WILLET - Willett Distillery,1869 Loretto Road,Bardstown,KY,40004,38.00583112,-85.48325915,"234 Eastbrooke Pkwy, Mt Washington, KY 40047"
36,WOODFD - Woodford Reserve Distillery,7855 Mccracken Pike,Versailles,KY,40383,38.11353054,-84.81090328,"212 Kroger Way, Versailles, KY 40383"
40,ANGELS - Angel's Envy Distillery,500 East Main Street,Louisville,KY,40202,38.25625039,-85.74322589,"2200 Brownsboro Rd, Louisville, KY 40206"
43,BARDBN - Bardstown Bourbon Company,1500 Parkway Drive,Bardstown,KY,40004,37.81170391,-85.40978191,"102 W John Rowan Blvd, Bardstown, KY 40004"
48,BOONE  - Boone County Distilling Company,6895 Burlington Pike,Florence,KY,41042,38.9470603,-84.61376329,"1700 Declaration Dr, Independence, KY 41051"
49,BOUNDA - Boundary Oak Distillery,2000 Boundary Oak Drive,Radcliff,KY,40160,37.81142454,-85.91396082,"111 Towne Dr, Elizabethtown, KY 42701"
55,CJONES - Casey Jones Distillery,2815 Witty Lane,Hopkinsville,KY,42240,37.1673104,-87.55506164,"545 Island Ford Rd, Madisonville, KY 42431"
70,JPEPPR - James E. Pepper Distillery,1228 Manchester St. #100,Lexington,KY,40504,38.05675303,-84.519719,"1600 Leestown Rd, Lexington, KY 40511"
72,LUXROW - Lux Row Distillers,3050 E. John Rowan Blvd.,Bardstown,KY,40004,37.80820949,-85.42444095,"102 W John Rowan Blvd, Bardstown, KY 40004"
73,NEWRIF - New Riff Distilling LLC,24 Distillery Way,Newport,KY,41073,39.1008597,-84.48891533,"53 Donnermeyer Dr, Bellevue, KY 41073"
74,OLDFOR - Old Forester,119 West Main Street,Louisville,KY,40202,38.2565113,-85.75242593,"1265 Goss Ave, Louisville, KY 40217"
75,OZTYLR - Green River Distilling,10 Distillery Rd.,Owensboro,KY,42301,37.77830466,-87.13806946,"2630 Frederica St, Owensboro, KY 42301"
76,PEERLE - Kentucky Peerless Distilling Company,120 N. Tenth Street,Louisville,KY,40202,38.25878652,-85.76632649,"2710 W Broadway, Louisville, KY 40211"
80,PRESDI - Preservation Distillery,426 Sutherland Rd,Bardstown,KY,40004,37.7871979,-85.4924798,"102 W John Rowan Blvd, Bardstown, KY 40004"
82,STITZW - Stitzel-Weller Distillery,323 Queensway Drive,Lexington,KY,40502,38.0299467,-84.47143043,"704 Euclid Ave, Lexington, KY 40502"
88,WTRL   - Wilderness Trail Distillery,4095 Lebanon Road,Danville,KY,40422,37.62108832,-84.8261795,"200 Skywatch Dr, Danville, KY 40422"
90,BLUE G - Bluegrass Distillers,501 W 6th St STE #165,Lexington,KY,40508,38.06037337,-84.49192709,"1600 Leestown Rd, Lexington, KY 40511"
92,HART   - Hartfield & Co,108 East 4th Street,Paris,KY,40361,38.21214135,-84.24891483,"1650 Bryan Station Rd, Lexington, KY 40505"
93,KYADIS - Kentucky Artisan Distillery Copperhead Distillery Company,6230 Old Lagrange Rd.,Crestwood,KY,40014,38.33635904,-85.46310132,"12450 La Grange Rd, Louisville, KY 40245"
104,RABBIT - Rabbit Hole Spirits LLC,711 East Jefferson Street,Louisville,KY,40202,38.25252619,-85.73947019,"2200 Brownsboro Rd, Louisville, KY 40206"
106,SSSPRI - Second Sight Spirits LLC,301 Elm Street,Ludlow,KY,41016,39.09637795,-84.54954704,"1525 Madison Ave, Covington, KY 41011"
113,Bulleit,3900 Benson Pike,Shelbyville,KY,40065,38.22304307,-85.13712782,"311 Boone Station Rd, Shelbyville, KY 40065"
114,Evan Williams,528 W Main St,Louisville,KY,40202,38.25703442,-85.75943524,"2710 W Broadway, Louisville, KY 40211"
115,Jim Beam,568 Happy Hollow Rd,Clermont,KY,40110,37.93132269,-85.65245619,"185 Adam Shepherd Pkwy, Shepherdsville, KY 40165"
116,Town Branch,401 Cross St,Lexington ,KY,40508,38.05001111,-84.50945454,"704 Euclid Ave, Lexington, KY 40502"
117,Neely Family,4360 Hwy 1130,Sparta,KY,41086,38.70682898,-84.9456456,"2549 KY-227, Carrollton, KY 41008"
118,Jephta Creed,500 Gordon Ln,Shelbyville,KY,40065,38.18974479,-85.264744,"311 Boone Station Rd, Shelbyville, KY 40065"
119,Limestone Ranch,1280 Veterans Memorial Hwy,Lebanon,KY,40033,37.58200104,-85.27200779,"705 E Main St, Lebanon, KY 40033"
